project_name,description,nr_methods,nr_packages,nr_test_classes,nr_test_run,nr_helpers,nr_smoked,nr_missed_fail,nr_missed_skipped,nr_context_dependent,nr_fully_rotten,manual_false_positive,test_complexity,real_fully_rotten,total,RottenÂ ?,total_wout_smoke
mongo-python-driver,,2030,89,72,2488,10,210,0,0,41,73,73,1.7665834027199556,0,324,true,41
mlxtend,,484,123,79,617,2,244,3,0,13,14,0,2.1218836565096955,14,274,true,30
youtube-dl,,2932,841,28,229,6,14,0,25,0,9,9,1.4773519163763067,0,48,true,25
pattern,,4281,155,14,486,7,6,0,9,9,8,1,1.6964426877470355,7,32,true,25
imgaug,,1428,89,31,3229,29,23,44,0,26,7,6,4.052562244763536,1,100,true,71
thefuck,,602,201,172,1644,3,11,0,0,0,6,6,2.1242873432155074,0,17,false,0
ParlAI,,4852,726,55,390,6,1,0,1,3,6,0,1.8049768518518519,6,11,true,10
urllib3,,521,51,29,1336,6,26,0,0,9,4,2,2.9064914992272026,2,39,true,11
celery,,3100,224,123,2496,18,383,2,1,5,4,0,2.375902823374918,4,395,true,12
aws-cli,,1959,267,272,2857,52,453,0,1,532,3,0,1.1804130579613592,3,989,true,536
troposphere,,677,298,38,276,0,71,0,0,0,3,0,1.3859111791730474,3,74,true,3
spaCy,,921,451,190,2588,3,46,0,5,6,2,0,3.728372093023256,2,59,true,13
python-telegram-bot,,1168,173,108,1331,0,9,0,0,2,2,2,4.225677830940989,0,13,true,2
pyjwt,,89,19,9,188,0,19,2,0,2,2,0,1.8388888888888888,2,25,true,6
kombu,,1444,109,68,1187,3,134,1,0,1,2,0,2.2241322314049587,2,138,true,4
sshuttle,,254,25,8,66,0,2,0,0,0,1,1,3.911764705882353,0,3,false,0
mrjob,,1605,159,55,2391,81,33,1,1,55,1,0,1.2013278008298756,1,91,true,58
flask_jsondash,,112,20,19,213,1,0,0,0,0,1,0,3.125,1,1,true,1
pylint,,3565,637,22,1147,9,27,0,0,0,1,0,1.6471774193548387,1,28,true,1
skorch,,404,39,16,809,7,42,0,0,1,1,0,2.4052830188679244,1,44,true,2
gym,,853,145,35,440,1,5,5,4,2,0,0,3.7486033519553073,0,16,true,11
python-fire,,532,53,4,221,0,3,0,0,1,0,0,1.30635838150289,0,4,true,1
black,,582,69,1,103,4,2,0,0,0,0,0,1.324,0,2,false,0
newspaper,,368,27,1,45,0,3,0,0,0,0,0,1.6171875,0,3,false,0
musicbox,,187,19,1,1,0,1,0,0,0,0,0,1.3333333333333333,0,1,false,0
yowsup,,1707,286,65,105,0,0,0,0,0,0,0,1.2982456140350878,0,0,false,0
howdoi,,31,3,1,19,0,0,0,0,0,0,0,1.6153846153846154,0,0,false,0
falcon,,483,90,51,1077,0,0,0,0,0,0,0,2.8597633136094673,0,0,false,0
Gooey,,592,144,8,0,0,0,0,0,0,0,0,2.1818181818181817,0,0,false,0
docopt,,59,21,1,214,0,6,0,0,0,0,0,4.846153846153846,0,6,false,0
pyinstaller,,855,651,220,0,0,0,0,0,0,0,0,1.9761904761904763,0,0,false,0
moviepy,,296,103,18,92,0,38,0,4,0,0,0,2.15625,0,42,true,4
ranger,,1143,104,4,7,0,0,0,0,0,0,0,4.6923076923076925,0,0,false,0
fuzzywuzzy,,45,7,3,71,0,6,0,0,0,0,0,1.3089430894308942,0,6,false,0
psutil,,753,48,14,0,0,0,0,0,0,0,0,2.5626892792247125,0,0,false,0
ludwig,,869,85,10,77,1,19,0,0,4,0,0,3.6363636363636362,0,23,true,4
powerline-shell,,175,56,1,806,0,0,0,0,0,0,0,1.14,0,0,false,0
speech_recognition,,53,12,3,28,0,0,0,0,0,0,0,1.328358208955224,0,0,false,0
flask-admin,,2174,203,34,115,0,62,0,0,0,0,0,1.4435146443514644,0,62,false,0
rtv,,676,37,14,304,0,15,2,0,2,0,0,5.05607476635514,0,19,true,4
urh,,6785,545,202,14,0,0,0,0,0,0,0,2.1063432835820897,0,0,false,0
impacket,,4209,176,71,2385,0,11,0,1,11,0,0,1.7590773173857326,0,23,true,12
streamlink,,1806,274,216,875,14,9,0,0,0,0,0,1.6219870664315108,0,9,false,0
flashtext,,20,4,11,23,0,0,0,0,0,0,0,1.7227722772277227,0,0,false,0
pygorithm,,384,75,39,243,7,22,0,0,10,0,0,1.4107883817427387,0,32,true,10
astropy,,15997,895,417,0,0,0,0,0,0,0,0,3.935364396654719,0,0,false,0
pip-tools,,247,39,16,271,0,18,0,0,0,0,0,2.7435897435897436,0,18,false,0
BayesianOptimization,,89,9,6,35,0,0,0,0,0,0,0,4.9361702127659575,0,0,false,0
redis-rdb-tools,,421,19,1,96,0,37,0,1,0,0,0,1.3703703703703705,0,38,true,1
ntfy,,40,27,13,82,0,45,0,0,0,0,0,1.1770833333333333,0,45,false,0
face-alignment,,67,18,1,5,0,1,0,0,0,0,0,2.5555555555555554,0,1,false,0
vprof,,167,22,3,20,0,0,0,0,0,0,0,2.0,0,0,false,0
samplemod,,3,6,2,2,0,0,0,0,0,0,0,1.8333333333333333,0,0,false,0
gif-for-cli,,39,16,5,48,2,0,0,0,0,0,0,1.335820895522388,0,0,false,0
MechanicalSoup,,64,14,4,114,0,0,0,0,1,0,0,3.5833333333333335,0,1,true,1
Pokemon-Terminal,,138,26,8,27,0,0,0,0,0,0,0,2.7,0,0,false,0
sampleproject,,1,2,1,1,0,0,0,0,0,0,0,2.0,0,0,false,0
whereami,,34,14,1,8,0,1,0,1,0,0,0,1.4,0,2,true,1
umap,,118,18,1,78,0,77,0,0,0,0,0,1.5060240963855422,0,77,false,0
elasticsearch-py,,361,49,16,126,1,61,0,0,0,0,0,1.7308641975308643,0,61,false,0
elasticsearch-dsl-py,,412,26,39,361,0,24,0,0,0,0,0,2.5779220779220777,0,24,false,0
cookiecutter-pypackage,,2,8,2,15,0,0,0,0,0,0,0,3.2,0,0,false,0
lightfm,,74,14,7,0,0,0,0,0,0,0,0,4.287671232876712,0,0,false,0
curator,,448,54,44,699,0,0,0,0,0,0,0,1.1732736572890026,0,0,false,0
poetry,,2253,378,56,508,1,25,0,0,0,0,0,3.20125786163522,0,25,false,0
python,,10852,712,669,1697,0,1531,0,0,0,0,0,1.107109301597244,0,1531,false,0
pandas-profiling,,98,29,19,60,0,1,0,0,0,0,0,2.604651162790698,0,1,false,0
pyTelegramBotAPI,,561,19,2,77,0,0,0,0,0,0,0,2.456953642384106,0,0,false,0
transitions,,208,14,12,1223,1,4,0,1,0,0,0,1.3656174334140436,0,5,true,1
vispy,,4344,489,72,215,0,0,0,0,0,0,0,3.33115823817292,0,0,false,0
websockify,,126,14,4,51,0,8,0,0,0,0,0,1.1881720430107527,0,8,false,0
python-ftfy,,67,14,7,195,0,1,0,0,0,0,0,3.5555555555555554,0,1,false,0
google-maps-services-python,,1039,134,10,90,1,0,0,0,0,0,0,1.0761421319796953,0,0,false,0
camelot,,128,21,4,49,0,2,0,7,0,0,0,2.46,0,9,true,7
pythia,,941,160,11,16,0,0,0,0,0,0,0,1.5692307692307692,0,0,false,0
python-dotenv,,48,9,4,77,0,0,0,0,1,0,0,2.9318181818181817,0,1,true,1
pyload,,2484,626,3,1,0,0,0,0,0,0,0,2.6666666666666665,0,0,false,0
requests,,5693,361,8,548,0,7,1,0,0,0,0,2.70906200317965,0,8,true,1
tflearn,,646,102,8,20,0,6,0,0,0,0,0,1.509090909090909,0,6,false,0
magenta,,6727,551,2,728,6,63,95,0,1,0,0,1.5006273525721456,0,159,true,96
tushare,,462,65,1,59,0,50,0,0,0,0,0,1.2,0,50,false,0
labelImg,,243,19,5,8,0,1,0,0,0,0,0,1.32,0,1,false,0
tensorboardX,,313,64,18,78,0,29,0,2,1,0,0,1.9005847953216375,0,32,true,3
pytorch_geometric,,1083,253,123,0,0,0,0,0,0,0,0,5.046948356807512,0,0,false,0
gensim,,3327,255,107,1063,0,0,0,0,0,0,0,1.7165775401069518,0,0,false,0
keras-rl,,293,40,8,30,0,19,0,0,0,0,0,3.196078431372549,0,19,false,0
pyod,,180,62,24,290,0,288,0,0,1,0,0,1.424090338770389,0,289,true,1
pymc3,,1685,110,50,0,0,0,0,0,0,0,0,2.0341779611078374,0,0,false,0
pretrained-models.pytorch,,382,32,2,90,0,1,0,2,0,0,0,3.6666666666666665,0,3,true,2
librosa,,263,50,18,31816,1,8,0,5,1,0,0,3.098546042003231,0,14,true,6
six,,68,2,1,195,0,4,0,0,4,0,0,3.685185185185185,0,8,true,4
s3transfer,,526,19,26,630,25,65,0,0,0,0,0,1.240155296727676,0,65,false,0
dateutil,,340,26,12,2074,8,31,0,0,2,0,0,1.2135785007072135,0,33,true,2
jinja,,895,47,21,582,2,4,9,0,1,0,0,2.5907906168549086,0,14,true,10
pyasn1,,611,54,20,1133,0,5,47,0,83,0,0,2.491359879789632,0,135,true,130
python-rsa,,100,18,14,88,0,8,0,0,0,0,0,1.3376068376068375,0,8,false,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
missed failed,sum,212,,missed failed number,12,,,,,,,,,,,,
,count,95,,missed skip number,17,,,,,,,,,,,,
,,,,context dep number,30,,,,,,,,,,,,
missed skip,sum,71,,full rotten number,15,,,,,,,,,,,,
,count,25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
context dependent,sum,831,,,,,,,,,,,,,,,
,count,532,,,,,,,,,,,,,,,
,,,,nb projects with rotten,41,,,,,,,,,,,,
fully rotten,sum,50,,,,,,,,,,,,,,,
,count,14,,"IF(OR(I4 > 0; J4 > 0; K4 > 0; O4 > 0); ""true""; ""false"")",,,,,,,,,,,,,
